ID,levels_complete,len_levels_complete
22,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '310level:poem']",24
23,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '93level:brick wall', '210level:two doors', '166level:burglary', '8level:locked in', '15level:novice locksmith', '236level:changeless', '136level:jelly throne', '30level:crab storage', '211level:submerged ruins', '314level:sunken temple', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!']",31
24,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple', '8level:locked in', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building']",21
26,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple', '209level:lock', '15level:novice locksmith', '210level:two doors', '166level:burglary', '8level:locked in', '236level:changeless', '136level:jelly throne', '30level:crab storage', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '234level:victory spring', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '33level:love is out there', ""23level:but where's the key"", '17level:unreachable shores', '71level:perilous gang']",38
27,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '90level:volcano', '2level:still out of reach', '6level:grass yard', '20level:icy waters', '5level:off limits', '212level:turns', '10level:affection', '93level:brick wall', '4level:pillar yard', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '310level:poem', '205level:float', '218level:warm river']",21
29,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '20level:icy waters', '212level:turns', '10level:affection', '93level:brick wall', '4level:pillar yard']",12
32,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '5level:off limits', '90level:volcano', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '15level:novice locksmith', '210level:two doors', '166level:burglary', '6level:grass yard', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '93level:brick wall', '211level:submerged ruins', '8level:locked in', '236level:changeless', '136level:jelly throne', '30level:crab storage', '234level:victory spring', '107level:assembly team', '219level:boiling river']",29
34,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '210level:two doors', '236level:changeless']",18
35,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '210level:two doors', '166level:burglary', '8level:locked in', '236level:changeless', '136level:jelly throne', '30level:crab storage', '211level:submerged ruins', '314level:sunken temple', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '219level:boiling river', '234level:victory spring', '107level:assembly team', '37level:tiny pond', '68level:wireless connection', '134level:dim signal', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '17level:unreachable shores', ""23level:but where's the key"", '33level:love is out there', '71level:perilous gang']",42
36,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '199level:fragility']",30
37,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '314level:sunken temple', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '17level:unreachable shores', ""23level:but where's the key""]",36
38,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '37level:tiny pond', '41level:tiny isle', '319level:research facility', '68level:wireless connection', '215level:evaporating river']",38
41,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '234level:victory spring', '107level:assembly team', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '17level:unreachable shores', '33level:love is out there', '71level:perilous gang', '56level:walls of gold']",38
42,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '5level:off limits', '90level:volcano', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '210level:two doors', '166level:burglary', '8level:locked in', '236level:changeless', '136level:jelly throne', '211level:submerged ruins', '314level:sunken temple', '30level:crab storage', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '37level:tiny pond', '41level:tiny isle', '319level:research facility', '68level:wireless connection', '134level:dim signal', '65level:prison', '215level:evaporating river', '318level:dungeon', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '17level:unreachable shores', ""23level:but where's the key"", '33level:love is out there', '238level:hop']",48
43,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?']",3
44,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple']",15
45,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '166level:burglary', '93level:brick wall', '136level:jelly throne', '30level:crab storage', '211level:submerged ruins', '6level:grass yard', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team']",29
46,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '211level:submerged ruins', '205level:float', '310level:poem', '218level:warm river', '236level:changeless', '136level:jelly throne', '210level:two doors', '30level:crab storage', '166level:burglary', '171level:bridge building']",26
47,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '136level:jelly throne', '30level:crab storage', '314level:sunken temple', '210level:two doors']",22
48,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '210level:two doors', '136level:jelly throne', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team']",22
49,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '210level:two doors', '8level:locked in', '236level:changeless', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team']",22
51,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '199level:fragility', '52level:tunnel vision', '58level:a present for you']",27
53,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '211level:submerged ruins', '314level:sunken temple', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '37level:tiny pond', '319level:research facility', '68level:wireless connection', '65level:prison', '219level:boiling river', '173level:...bridges?', '41level:tiny isle', '134level:dim signal', '318level:dungeon', '215level:evaporating river', '199level:fragility', '52level:tunnel vision']",43
55,['0level:baba is you'],1
57,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '90level:volcano', '3level:out of reach', '5level:off limits', '2level:still out of reach', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '93level:brick wall', '211level:submerged ruins', '4level:pillar yard', '8level:locked in', '236level:changeless', '136level:jelly throne', '209level:lock', '15level:novice locksmith', '210level:two doors', '30level:crab storage', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '234level:victory spring', '107level:assembly team']",30
62,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '314level:sunken temple', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?']",28
63,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '211level:submerged ruins', '314level:sunken temple', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '173level:...bridges?', '107level:assembly team']",31
64,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '8level:locked in', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple', '236level:changeless', '209level:lock', '15level:novice locksmith', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?']",30
67,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '20level:icy waters', '6level:grass yard', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '210level:two doors', '166level:burglary', '8level:locked in', '236level:changeless', '136level:jelly throne', '30level:crab storage', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '219level:boiling river', '199level:fragility', '52level:tunnel vision', '58level:a present for you']",33
69,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection']",11
70,"['0level:baba is you', '210level:two doors', '30level:crab storage', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '136level:jelly throne']",20
71,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '209level:lock', '8level:locked in', '236level:changeless', '136level:jelly throne', '15level:novice locksmith', '166level:burglary', '210level:two doors', '30level:crab storage', '205level:float', '218level:warm river', '171level:bridge building', '310level:poem', '172level:bridge building?']",27
72,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '210level:two doors', '205level:float', '218level:warm river', '171level:bridge building', '211level:submerged ruins']",20
73,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '37level:tiny pond', '41level:tiny isle']",35
74,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '211level:submerged ruins', '314level:sunken temple', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team']",30
76,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '93level:brick wall', '211level:submerged ruins', '4level:pillar yard', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '136level:jelly throne', '30level:crab storage', '210level:two doors']",21
78,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '90level:volcano', '6level:grass yard', '5level:off limits']",7
80,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '136level:jelly throne', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '199level:fragility', '30level:crab storage', '314level:sunken temple', '210level:two doors', '166level:burglary']",32
81,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock']",14
83,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '136level:jelly throne', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '210level:two doors', '30level:crab storage', '166level:burglary', '234level:victory spring', '107level:assembly team', '7level:catch the thief!']",29
84,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '210level:two doors', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '238level:hop', '221level:grand stream', '199level:fragility', '52level:tunnel vision', '58level:a present for you', ""23level:but where's the key"", '33level:love is out there', '72level:double moat', '239level:jump', '36level:ghost friend', '9level:empty', '11level:lonely flag', '80level:please hold my key', '66level:renovating', '246level:toolshed', '57level:patrol', '94level:thicket', '220level:crate square', '85level:canyon', '98level:victory in the open']",44
85,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless']",17
87,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '136level:jelly throne', '93level:brick wall', '210level:two doors', '166level:burglary', '205level:float', '310level:poem', '218level:warm river']",23
88,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '4level:pillar yard', '10level:affection', '209level:lock', '93level:brick wall', '15level:novice locksmith']",15
90,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '211level:submerged ruins', '314level:sunken temple', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '37level:tiny pond', '319level:research facility', '68level:wireless connection', '65level:prison', '219level:boiling river', '173level:...bridges?', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '17level:unreachable shores', ""23level:but where's the key"", '33level:love is out there', '71level:perilous gang']",43
91,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '219level:boiling river', '173level:...bridges?', '234level:victory spring', '238level:hop', '221level:grand stream', '235level:rocky road', '62level:telephone', '194level:haunt', '220level:crate square', '36level:ghost friend', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '211level:submerged ruins']",37
98,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall']",13
99,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '93level:brick wall', '15level:novice locksmith', '8level:locked in']",16
100,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '6level:grass yard', '5level:off limits', '20level:icy waters', '212level:turns', '4level:pillar yard', '93level:brick wall', '10level:affection', '211level:submerged ruins', '8level:locked in', '236level:changeless', '136level:jelly throne', '30level:crab storage', '209level:lock', '210level:two doors', '15level:novice locksmith', '166level:burglary', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '65level:prison', '319level:research facility']",32
101,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '6level:grass yard', '5level:off limits', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '8level:locked in', '236level:changeless', '136level:jelly throne', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '37level:tiny pond', '238level:hop', '221level:grand stream', '194level:haunt']",27
102,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '8level:locked in', '209level:lock', '15level:novice locksmith', '236level:changeless', '136level:jelly throne']",18
103,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '8level:locked in', '236level:changeless', '136level:jelly throne', '209level:lock', '15level:novice locksmith', '210level:two doors', '166level:burglary']",20
